Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Masters,2013,Pune,3,25,Male,No,3,0
Bachelors,2015,Bangalore,-771,25,Female,No,3,1
Bachelors,2015,Bangalore,3,27,Female,No,5,-848
Bachelors,2017,Pune,2,27,Female,No,5,1
Bachelors,2013,Bangalore,3,27,Male,No,5,669
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Masters,2017,New Delhi,2,28,Male,incorrect_value,2,0
Bachelors,2014,Pune,1,26,Female,No,4,1
Bachelors,2015,Bangalore,3,28,Male,No,662,0
Masters,2013,,3,26,Male,No,4,0
Bachelors,2017,Bangalore,539,-746,Female,No,-321,0
Bachelors,2017,New Delhi,2,-57,Male,No,3,0
Bachelors,2012,Bangalore,12,28,Female,No,-716,0
incorrect_value,2015,New Delhi,-2,26,Male,No,4,0
Bachelors,2015,New Delhi,3,25,Female,No,-927,0
Bachelors,2012,Bangalore,3,26,Male,No,4,617
Bachelors,2014,Bangalore,124,-156,Female,No,3,0
Masters,2014,incorrect_value,3,24,Male,No,2,0
Bachelors,2013,Bangalore,3,28,Male,No,1,0
Bachelors,2015,Pune,235,27,Male,,5,-840
Bachelors,2018,Bangalore,3,25,Male,No,3,1
Masters,2013,Pune,1,24,Male,No,2,1
Bachelors,2017,Bangalore,3,26,Female,No,4,0
Bachelors,2013,Bangalore,301,28,,No,1,89
Masters,2016,,3,27,Male,No,5,0
Masters,2017,Bangalore,3,26,Male,No,-397,0
Masters,2017,New Delhi,2,24,Male,No,2,0
Masters,2018,New Delhi,3,26,Male,No,4,1
Masters,2017,New Delhi,1,25,Female,No,3,1
incorrect_value,2012,Pune,3,557,Male,No,2,0
Bachelors,2017,,3,28,Male,No,2,0
Bachelors,2013,Bangalore,3,26,Male,No,4,0
incorrect_value,2013,New Delhi,3,501,Male,No,5,1
Bachelors,2017,,2,24,Female,No,2,1
Bachelors,894,New Delhi,3,28,Female,No,2,0
Bachelors,2016,Bangalore,3,26,Male,No,-859,0
incorrect_value,-739,Bangalore,3,27,Female,No,5,0
Masters,2015,Pune,2,28,Female,No,3,0
Bachelors,2014,Bangalore,3,25,Male,No,3,0
Bachelors,2016,Pune,3,28,Male,No,1,0
Masters,172,Bangalore,1,25,Male,No,3,1
Bachelors,2015,Pune,3,26,Male,No,4,-570
Bachelors,2018,incorrect_value,3,27,Female,,5,1
Bachelors,2016,Bangalore,707,24,Male,No,2,1
Bachelors,2012,Pune,2,24,Female,No,2,1
incorrect_value,2014,Bangalore,3,26,Male,No,4,0
Bachelors,2016,Pune,2,24,Female,No,2,1
Masters,2012,New Delhi,3,26,,No,4,0
Bachelors,2013,Bangalore,3,28,incorrect_value,No,-717,118
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Bachelors,2015,Bangalore,3,25,Male,No,3,1
Bachelors,2016,Bangalore,3,28,Male,No,3,0
,2014,Bangalore,3,28,Female,No,3,0
Bachelors,2013,Bangalore,3,26,Female,No,4,0
Masters,2017,New Delhi,3,24,Female,No,2,1
Bachelors,2016,Bangalore,3,25,Male,No,3,1
Bachelors,2015,,3,25,Male,No,3,0
Bachelors,2014,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,-523,24,Male,No,2,0
Bachelors,2014,Bangalore,3,25,incorrect_value,No,3,0
Bachelors,2015,Bangalore,3,28,,incorrect_value,3,0
Masters,2015,New Delhi,3,26,Male,No,4,1
Bachelors,2014,incorrect_value,3,28,Female,No,1,0
Bachelors,2015,Pune,3,25,Male,No,3,722
Masters,2015,Pune,2,28,Female,No,2,0
Bachelors,-761,incorrect_value,3,27,Female,,5,0
Bachelors,2013,Bangalore,3,926,Male,No,4,0
Bachelors,2016,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,incorrect_value,3,0
Bachelors,2015,Bangalore,3,25,Male,No,3,0
Bachelors,2014,New Delhi,3,24,Female,No,2,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Masters,2017,,3,27,Male,No,5,1
Bachelors,2015,Pune,3,27,Male,No,5,0
Bachelors,2018,Bangalore,3,24,Male,No,2,1
Masters,2017,New Delhi,3,27,Male,No,5,896
incorrect_value,2017,New Delhi,2,28,Female,,1,-201
Masters,2017,Pune,-166,24,Male,No,2,1
Masters,2016,New Delhi,-36,25,Female,No,3,1
PHD,2015,New Delhi,3,28,Female,No,1,0
Bachelors,882,New Delhi,2,26,Male,incorrect_value,311,0
Bachelors,2013,Bangalore,2,27,Male,No,5,-12
Bachelors,2015,Bangalore,3,26,Male,No,4,0
Bachelors,2015,Bangalore,3,26,incorrect_value,No,-287,0
Bachelors,2013,Bangalore,3,28,Male,No,549,0
incorrect_value,2015,Bangalore,3,27,,No,5,0
Bachelors,2013,,3,25,Female,No,-914,0
Bachelors,2013,Pune,3,28,Male,No,1,0
incorrect_value,2017,Pune,3,24,Male,No,2,0
Bachelors,2013,New Delhi,3,27,Female,No,5,0
incorrect_value,2015,Bangalore,3,28,Male,Yes,2,0
,2015,Pune,3,28,Male,No,3,0
Bachelors,2014,Pune,2,25,Female,No,3,1
Bachelors,636,Bangalore,3,25,Male,No,3,0
Bachelors,2017,Bangalore,3,27,Male,No,5,-463
Bachelors,2014,Pune,2,26,Female,No,4,1
PHD,2013,incorrect_value,3,24,Male,No,2,0
Bachelors,2015,Pune,2,26,Female,,4,1
Bachelors,2017,Bangalore,3,25,,No,3,0
Masters,2013,,2,27,Male,No,5,1
Masters,2017,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2017,Bangalore,3,27,Male,No,5,0
Masters,-663,Pune,2,27,Female,No,5,0
Masters,-167,Bangalore,2,28,Female,incorrect_value,2,1
Masters,2017,Pune,3,208,incorrect_value,No,1,1
Bachelors,2018,Bangalore,3,27,Female,,5,1
Bachelors,2014,New Delhi,3,25,Female,No,85,0
Masters,2017,New Delhi,3,27,Male,No,5,1
Masters,2013,New Delhi,3,26,Male,No,4,1
Bachelors,2013,Pune,2,25,Female,No,3,1
Masters,2012,New Delhi,3,26,Male,No,4,1
Bachelors,2016,Bangalore,3,25,Male,No,3,1
Bachelors,2013,Pune,2,26,Male,No,4,0
Bachelors,2018,Bangalore,3,28,Female,No,2,1
Bachelors,2013,Bangalore,3,27,Male,incorrect_value,5,0
Bachelors,2015,Pune,1,24,incorrect_value,Yes,2,1
Bachelors,2013,Pune,3,896,Male,No,2,0
Bachelors,2015,Pune,2,27,Female,incorrect_value,-196,1
Bachelors,2018,Bangalore,3,25,Male,No,3,1
Bachelors,2014,Pune,-289,27,Female,No,5,1
Bachelors,2013,Pune,3,24,Male,No,2,0
Bachelors,2014,,3,24,Male,No,990,0
PHD,2015,New Delhi,2,25,Female,No,3,0
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
Bachelors,2018,Bangalore,3,24,Male,No,2,-492
Masters,2015,Pune,2,25,Female,No,3,0
incorrect_value,2015,Bangalore,703,24,Male,No,2,126
Bachelors,2014,New Delhi,3,24,Female,No,2,0
Masters,2017,Bangalore,2,26,Female,No,4,1
Bachelors,2012,New Delhi,3,28,Male,No,-839,-206
Masters,2017,Pune,2,26,Female,No,4,0
Bachelors,2016,Pune,-916,25,Male,No,3,0
Bachelors,2017,New Delhi,3,24,Male,No,219,1
Bachelors,2013,Pune,2,28,Female,No,809,1
Bachelors,2014,Bangalore,3,25,Female,No,3,1
Bachelors,2014,Bangalore,3,25,Male,No,3,0
Bachelors,2014,Pune,737,-714,Female,No,2,1
Bachelors,2015,Bangalore,3,28,Male,No,2,1
Bachelors,2015,Bangalore,3,453,Male,No,5,293
Bachelors,2016,Pune,3,26,Male,No,4,0
Masters,2015,New Delhi,3,26,Female,No,4,1
Bachelors,574,Bangalore,1,28,Female,No,2,0
Bachelors,2014,Bangalore,3,25,incorrect_value,Yes,3,0
Bachelors,2014,Bangalore,3,27,Male,,5,0
Bachelors,2017,Bangalore,3,28,Male,No,986,719
Masters,2018,New Delhi,3,24,Female,Yes,2,1
Bachelors,2017,Pune,2,25,Male,No,3,0
Bachelors,38,incorrect_value,2,24,Female,No,2,1
Masters,2017,New Delhi,970,28,Female,No,1,0
Bachelors,2013,New Delhi,251,27,Female,No,-581,0
Bachelors,2017,New Delhi,2,27,Female,No,5,0
Bachelors,2017,Bangalore,3,28,Male,No,1,0
Bachelors,2016,Pune,2,27,Female,No,5,1
Masters,2018,Bangalore,3,24,Male,No,2,-682
,2012,,1,26,Male,No,4,0
Bachelors,2016,Bangalore,3,-894,Male,No,-881,0
Masters,2016,incorrect_value,1,27,Male,incorrect_value,5,0
Bachelors,234,New Delhi,3,26,Female,No,4,0
Bachelors,2012,Bangalore,7,27,Male,Yes,5,0
incorrect_value,2013,Bangalore,3,24,Male,Yes,2,1
Bachelors,2018,incorrect_value,3,933,Female,No,4,1
Masters,2017,Pune,2,26,Female,incorrect_value,4,1
Masters,2017,New Delhi,2,28,Female,,2,0
Bachelors,-228,Pune,3,28,Male,No,1,0
Masters,2013,New Delhi,3,25,incorrect_value,No,3,0
Bachelors,687,Bangalore,3,28,Female,Yes,1,1
Bachelors,2013,Pune,3,-80,Female,No,5,1
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2014,Bangalore,-75,28,Male,No,1,0
Bachelors,2017,New Delhi,3,28,Female,No,3,0
Masters,2017,New Delhi,2,28,Male,Yes,2,0
Bachelors,2014,Bangalore,3,25,Male,No,3,0
Masters,2017,New Delhi,3,21,Male,incorrect_value,4,0
Bachelors,2015,Pune,1,25,Female,No,3,1
Masters,2013,New Delhi,3,27,Male,No,-330,0
PHD,2014,Bangalore,3,24,Female,No,2,0
Masters,2017,New Delhi,2,27,incorrect_value,No,5,0
Bachelors,2018,Bangalore,3,-645,Male,No,4,1
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Masters,2015,Pune,3,27,Female,No,5,1
Bachelors,2018,Bangalore,3,163,Male,No,4,1
Bachelors,2016,Bangalore,-403,24,incorrect_value,No,2,0
Masters,2017,New Delhi,2,25,Female,No,3,0
Bachelors,435,New Delhi,2,-486,Male,No,1,0
Bachelors,2012,New Delhi,3,27,Female,incorrect_value,5,60
Masters,2013,New Delhi,-620,26,Male,No,4,1
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
Bachelors,2014,Pune,3,28,,No,2,0
Bachelors,2016,Bangalore,3,24,Female,No,2,1
Bachelors,2012,Bangalore,3,352,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
,2013,,3,-707,Male,No,4,0
Bachelors,2014,New Delhi,3,28,Female,No,1,0
Bachelors,2014,New Delhi,3,-585,Female,Yes,5,0
incorrect_value,2015,Pune,3,26,Female,Yes,4,1
Masters,2014,New Delhi,3,-222,Male,No,4,1
PHD,2015,New Delhi,3,25,Female,No,3,0
Masters,2015,New Delhi,3,25,Male,No,3,0
Bachelors,2012,Pune,3,27,Male,No,5,0
Masters,2017,New Delhi,2,24,Female,No,2,0
Bachelors,2016,Bangalore,-954,24,Male,No,-238,0
Masters,2015,Pune,3,28,Female,No,2,0
Bachelors,2017,Bangalore,3,24,Female,No,2,0
Bachelors,2017,Pune,3,25,incorrect_value,No,-192,0
Bachelors,2017,Bangalore,1,25,Male,No,3,0
Masters,-415,Pune,3,28,Female,No,2,0
Bachelors,659,Pune,3,26,Male,No,4,373
Bachelors,2014,Pune,3,24,Male,No,2,0
Bachelors,2014,,3,25,Female,No,3,1
Bachelors,2018,Pune,196,26,Female,No,4,1
Bachelors,2016,Bangalore,-873,27,Male,No,5,0
Bachelors,2017,incorrect_value,3,-366,Female,No,2,0
Bachelors,2012,Pune,3,28,Male,No,2,0
Masters,2012,New Delhi,3,-240,incorrect_value,incorrect_value,2,1
Bachelors,2013,Bangalore,800,26,Male,No,4,0
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0
Bachelors,2017,,3,28,Male,No,1,0
Bachelors,2018,Pune,3,25,Male,Yes,-871,845
Masters,2017,incorrect_value,3,816,,No,-36,0
Bachelors,-559,Bangalore,3,28,Male,No,2,1
Bachelors,2017,Bangalore,3,-270,Male,No,2,0
Masters,2017,New Delhi,2,25,Female,No,3,1
,2013,Pune,2,28,Female,No,1,1
Bachelors,2015,Bangalore,3,24,Female,No,2,0
Bachelors,2016,Pune,3,26,Male,No,4,0
Bachelors,2015,New Delhi,2,27,Female,No,-576,1
Bachelors,2018,Bangalore,3,24,Female,No,2,1
Bachelors,2013,incorrect_value,3,27,Female,No,5,0
incorrect_value,2013,Bangalore,3,24,Male,Yes,2,0
,2013,Bangalore,3,24,Female,No,2,0
Bachelors,2013,Bangalore,3,27,incorrect_value,No,5,0
Bachelors,2017,Bangalore,3,26,incorrect_value,No,4,0
Bachelors,2015,Bangalore,-667,938,Female,,2,0
Bachelors,2012,Pune,3,24,Female,No,2,1
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2017,New Delhi,2,27,Male,No,5,0
Bachelors,813,Pune,2,27,Female,No,5,1
Masters,2017,Pune,2,27,Male,No,5,0
Bachelors,2017,Pune,2,24,Male,No,2,1
Bachelors,2016,Pune,-991,26,Female,No,4,1
Bachelors,2015,,3,26,Female,No,4,1
Bachelors,2016,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Pune,3,26,incorrect_value,,4,0
Bachelors,2017,Bangalore,-919,28,incorrect_value,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2017,Bangalore,3,25,Female,,3,0
Masters,2017,Pune,2,26,incorrect_value,No,-771,263
Masters,2017,Pune,3,28,Male,No,1,1
Masters,2015,Pune,2,25,Female,No,3,1
Bachelors,2017,New Delhi,2,26,Female,No,4,0
Bachelors,2017,New Delhi,2,26,Male,No,4,340
Bachelors,2016,incorrect_value,3,27,incorrect_value,No,5,0
Bachelors,2017,New Delhi,3,27,Female,No,5,0
Bachelors,2015,New Delhi,3,24,incorrect_value,No,2,0
,2017,Bangalore,1,26,Female,No,4,1
Bachelors,541,New Delhi,1,28,Female,No,2,0
Bachelors,2015,Bangalore,3,938,Male,No,2,0
incorrect_value,2015,Pune,2,25,Female,No,3,1
Bachelors,2014,Bangalore,3,25,Female,No,3,0
Bachelors,2014,Bangalore,3,28,Male,No,2,0
Bachelors,2017,Bangalore,3,28,Male,No,3,0
incorrect_value,2015,New Delhi,1,27,Male,No,5,0
Bachelors,2014,Pune,1,26,Female,No,4,1
Masters,400,Bangalore,3,25,incorrect_value,,3,-687
Bachelors,2016,Bangalore,3,28,Female,,3,0
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1
Bachelors,2015,Pune,2,24,Female,No,2,1
Bachelors,2017,Bangalore,-736,27,Male,Yes,5,0
Bachelors,-756,Bangalore,3,26,Male,No,4,-505
Bachelors,2014,Bangalore,3,24,Male,incorrect_value,2,0
Bachelors,2016,Bangalore,3,533,Male,No,2,0
incorrect_value,2015,Pune,2,25,Female,No,3,1
Bachelors,2013,Pune,3,27,Male,No,5,0
Bachelors,2015,Bangalore,3,28,Male,No,3,0
Bachelors,-208,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2013,Bangalore,3,27,Male,No,5,0
Bachelors,2015,Bangalore,-962,26,Female,incorrect_value,4,1
Bachelors,2015,Pune,3,397,Male,No,2,0
Bachelors,2014,,2,24,Female,No,2,1
Bachelors,2013,Bangalore,3,24,Male,,2,0
Bachelors,2018,Bangalore,577,28,Male,Yes,3,1
Bachelors,2015,Pune,3,27,,No,5,0
incorrect_value,874,Pune,2,26,Male,No,4,0
Bachelors,2016,Bangalore,3,25,Male,No,3,1
PHD,2013,Bangalore,3,25,Male,incorrect_value,3,622
Bachelors,2014,Bangalore,3,25,Male,No,3,0
Bachelors,2017,New Delhi,2,28,Female,No,1,0
Bachelors,872,Pune,1,26,Female,No,4,1
Masters,-203,New Delhi,3,26,Male,Yes,4,1
Bachelors,2014,incorrect_value,3,27,Male,No,5,0
Bachelors,2012,New Delhi,3,24,Female,No,2,0
Bachelors,2017,New Delhi,2,24,Male,,744,0
Bachelors,2015,Bangalore,3,-933,Male,No,4,0
incorrect_value,2012,,3,26,Female,No,236,0
Bachelors,2015,Bangalore,3,24,Male,No,674,0
Masters,2014,Pune,3,25,Male,No,3,0
Bachelors,2015,Bangalore,3,28,Male,No,2,0
Bachelors,2016,Pune,3,24,Male,No,2,0
Bachelors,2016,Bangalore,3,676,Female,,205,0
Bachelors,2015,Pune,2,101,Female,Yes,3,1
Masters,2013,New Delhi,2,25,Male,incorrect_value,3,909
Bachelors,2017,Pune,3,25,Male,No,3,0
Bachelors,2015,Pune,2,26,Female,Yes,4,1
Masters,845,Bangalore,2,26,Female,incorrect_value,4,1
Bachelors,2012,Pune,3,27,incorrect_value,No,5,0
Masters,2017,,3,28,Male,Yes,2,0
Bachelors,2016,Pune,3,25,incorrect_value,No,3,-909
Bachelors,2016,Bangalore,3,24,incorrect_value,No,2,0
Bachelors,804,Pune,3,28,Male,No,1,0
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0
Bachelors,2015,New Delhi,3,523,Male,No,4,0
Bachelors,2016,Bangalore,3,27,Male,No,236,-36
Bachelors,2017,,2,27,Male,No,5,0
Bachelors,-935,Bangalore,3,27,Male,No,5,0
PHD,2018,New Delhi,193,25,Male,No,-218,1
Bachelors,2014,Pune,3,-109,Male,No,5,0
Bachelors,2013,Bangalore,104,26,,No,4,0
Masters,2017,Pune,2,24,Female,No,2,1
PHD,2016,New Delhi,2,28,,No,3,1
Masters,2014,New Delhi,3,26,Male,No,4,1
Masters,2017,New Delhi,2,27,Male,Yes,5,8
PHD,2013,New Delhi,412,27,Male,No,5,0
Masters,2014,New Delhi,3,28,incorrect_value,No,1,0
Bachelors,653,Pune,3,27,,No,5,821
Bachelors,2015,Pune,3,26,Female,Yes,4,1
Masters,2014,Bangalore,3,26,Male,No,4,1
Masters,2012,Pune,3,27,Male,No,5,0
Bachelors,2017,Bangalore,3,26,Male,No,4,0
Masters,2017,Pune,2,27,Male,No,5,1
Bachelors,2017,incorrect_value,3,27,Male,No,5,0
incorrect_value,2016,Bangalore,-825,25,Male,incorrect_value,3,-394
Bachelors,2016,Pune,3,27,Male,Yes,5,0
Bachelors,2014,Pune,3,25,Male,No,3,-526
Bachelors,2017,Bangalore,3,28,Male,No,1,0
Masters,2012,Pune,3,24,Male,No,2,0
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
Bachelors,2013,Pune,2,25,Male,No,3,1
Bachelors,2012,Pune,3,27,Male,No,5,0
Bachelors,2017,Bangalore,915,26,Male,No,4,0
,2013,Pune,-545,26,Male,No,389,0
Bachelors,2016,,3,841,Male,No,2,0
Bachelors,2014,Bangalore,-983,25,,No,3,-417
Bachelors,2015,New Delhi,3,25,Male,No,3,0
PHD,2012,Pune,3,-955,Male,No,2,0
Bachelors,2013,Bangalore,3,27,Male,No,5,0
Bachelors,-609,Bangalore,3,25,Male,No,3,0
Bachelors,2016,Bangalore,349,26,Male,No,4,0
,2015,New Delhi,3,24,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,incorrect_value,4,0
Bachelors,2013,Pune,3,24,Male,No,-376,0
Masters,2017,New Delhi,3,24,Male,,2,1
Bachelors,2014,Bangalore,1,25,incorrect_value,Yes,3,0
incorrect_value,2018,Bangalore,3,28,Male,No,1,-955
Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
Masters,2013,Bangalore,-830,28,,Yes,2,1
Bachelors,2013,,3,26,Male,incorrect_value,4,0
Masters,2018,New Delhi,832,24,Male,Yes,2,1
Bachelors,2012,Bangalore,3,25,Male,No,3,0
PHD,2013,New Delhi,2,27,Female,No,5,0
Masters,2018,New Delhi,3,28,Male,Yes,2,1
Bachelors,2014,Bangalore,19,28,Male,incorrect_value,3,1
Bachelors,-366,Pune,3,27,Male,incorrect_value,5,0
Bachelors,2013,New Delhi,3,24,Female,No,2,92
Bachelors,2015,Pune,2,28,incorrect_value,No,1,1
Bachelors,2015,Pune,2,26,Female,No,4,1
Bachelors,2017,New Delhi,2,28,Female,No,3,0
Masters,2012,Pune,3,27,Female,No,5,1
Masters,2017,Pune,3,25,Female,Yes,3,1
Masters,2013,New Delhi,2,-730,Male,No,3,1
Masters,2017,incorrect_value,2,27,Male,No,5,1
Bachelors,2017,Bangalore,3,24,Male,No,2,0
Bachelors,2016,Pune,2,24,Female,,2,1
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Masters,2017,Pune,2,-573,incorrect_value,No,2,0
Bachelors,2015,Pune,2,25,Female,,3,1
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0
incorrect_value,2013,Pune,2,24,Male,incorrect_value,2,1
Bachelors,-835,incorrect_value,3,25,Male,No,3,0
PHD,2015,New Delhi,2,28,,No,1,0
Bachelors,2016,Pune,3,24,Male,No,2,0
Bachelors,2017,Bangalore,3,405,,No,2,0
Bachelors,2016,Bangalore,3,27,Male,incorrect_value,5,0
incorrect_value,2017,Bangalore,3,25,Female,No,3,0
Masters,2014,New Delhi,3,27,Male,No,5,0
Bachelors,2016,Bangalore,3,27,Male,No,5,0
,2016,Bangalore,3,28,,No,-362,0
Bachelors,2018,Pune,3,60,Male,No,3,1
Bachelors,2013,Bangalore,3,26,Male,Yes,730,1
Bachelors,2015,New Delhi,3,25,Male,No,-513,1
Bachelors,2017,New Delhi,2,460,Female,No,3,1
Bachelors,2012,Bangalore,-165,25,Male,Yes,3,0
Bachelors,2014,New Delhi,3,28,Female,No,2,0
Bachelors,2017,New Delhi,2,27,Female,No,5,681
Bachelors,2018,Pune,-494,26,Male,No,4,1
